Date,US,Canada,Mexico
2019/07/01,8091.2,NaN,43438.2
2019/07/02,8109.1,16471.3,43441.8
2019/07/03,8170.2,16576.2,43483.2
2019/07/05,8161.8,16542,43405.3
2019/07/08,8098.4,16463,43589.1
2019/07/09,8141.7,16545.2,42818.7
2019/07/10,8202.5,16563.3,42805.6
2019/07/11,8196,16527.9,42882
2019/07/12,8244.1,16488.1,42647.3
2019/07/15,8258.2,16510.8,43063.9
2019/07/16,8222.8,16502.4,42985
2019/07/17,8185.2,16484.2,42551.5
2019/07/18,8207.2,16494.2,41618.1
2019/07/19,8146.5,16485.9,41606.5
2019/07/22,8204.1,16518.9,41209.3
2019/07/23,8251.4,16572.7,40935.3
2019/07/24,8321.5,16611.8,41167.7
2019/07/25,8238.5,16488.2,40933.4
2019/07/26,8330.2,16531,40673.8
2019/07/29,8293.3,16492.2,41276.7
2019/07/30,8273.6,16466.1,41159.3
2019/07/31,8175.4,16406.6,40863.1
2019/08/01,8111.1,16377,40346.8
2019/08/02,8004.1,16271.7,39977.5
2019/08/05,7726,NaN,39496.4
2019/08/06,7833.3,16149.5,39785.6
2019/08/07,7862.8,16265.2,40432.4
2019/08/08,8039.2,16404.5,40439.4
2019/08/09,7959.1,16341.3,40421.3
2019/08/12,7863.4,16237.8,39851.2
2019/08/13,8016.4,16350.8,39476.5
2019/08/14,7773.9,16045.9,38650.1
2019/08/15,7766.6,16012.5,38574.2
2019/08/16,7896,16149.8,39339.6
2019/08/19,8002.8,16304.1,39556.3
2019/08/20,7948.6,16213.3,39700.1
2019/08/21,8020.2,16309.2,40076
2019/08/22,7991.4,16253.5,40144.2
2019/08/23,7751.8,16037.6,39862.1
2019/08/26,7853.7,16098.8,40081.7
2019/08/27,7827,16183.6,40649
2019/08/28,7856.9,16271.7,40942
2019/08/29,7973.4,16384.5,41831.3
2019/08/30,7962.9,16442.1,42622.5
2019/09/03,7874.2,16399.2,41826.6
2019/09/04,7976.9,16448.8,42324.5
2019/09/05,8116.8,16574.8,42731.5
2019/09/06,8103.1,16535.3,42707.7
2019/09/09,8087.4,16495.1,42662.5
2019/09/10,8084.2,16537.3,42588.1
2019/09/11,8169.7,16611.1,42749.2
2019/09/12,8194.5,16643.3,42670.4
2019/09/13,8176.7,16682.4,42841.5
2019/09/16,8153.5,16751.3,NaN
2019/09/17,8186,16834.8,43448.9
2019/09/18,8177.4,16800.3,43070.3
2019/09/19,8182.9,16858.4,43017.5
2019/09/20,8117.7,16899.7,43559.4
2019/09/23,8112.5,16867.2,43507.9
2019/09/24,7993.6,16798.3,43099.3
2019/09/25,8077.4,16784.3,43014.1
2019/09/26,8030.7,16790.4,42984.8
2019/09/27,7939.6,16694.3,42857.6
2019/09/30,7999.3,16658.6,43011.3
2019/10/01,7908.7,16447.7,42937.2
2019/10/02,7785.3,16311,42222.9
2019/10/03,7872.3,16369,42443.3
2019/10/04,7982.5,16449.4,43416.9
2019/10/07,7956.3,16421.8,42952.3
2019/10/08,7823.8,16294,42535.1
2019/10/09,7903.7,16379.9,42501.9
2019/10/10,7950.8,16422.7,42929.8
2019/10/11,8057,16415.2,43214.6
2019/10/14,8048.6,NaN,43299.5
2019/10/15,8148.7,16418.4,43244.6
2019/10/16,8124.2,16427.2,43538.5
2019/10/17,8156.9,16426.3,43480
2019/10/18,8089.5,16377.1,43178.6
2019/10/21,8163,16418.5,43405.4
2019/10/22,8104.3,16391.5,43363.5
2019/10/23,8119.8,16335.9,43546.5
2019/10/24,8185.8,16369.3,43776.6
2019/10/25,8243.1,16404.5,43389.2
2019/10/28,8326,16387.5,43765.5
2019/10/29,8276.8,16418.1,43851.1
2019/10/30,8304,16501.4,43741.6
2019/10/31,8292.4,16483.2,43337.3
2019/11/01,8386.4,16594.1,43814.6
2019/11/04,8433.2,16669.8,43815.8
2019/11/05,8434.7,16681.9,43611.8
2019/11/06,8410.6,16745.6,43818.5
2019/11/07,8434.5,16805.8,44119.9
2019/11/08,8475.3,16877.4,43702.2
2019/11/11,8464.3,16882.8,43595.6
2019/11/12,8486.1,16909.4,43100.8
2019/11/13,8482.1,16958,43098.7
2019/11/14,8479,16972.2,43188.7
2019/11/15,8540.8,17028.5,43392.4
2019/11/18,8549.9,17025.1,NaN
2019/11/19,8570.7,17011.4,43602.3
2019/11/20,8526.7,17005.8,43604.7
2019/11/21,8506.2,16999.2,43255.4
2019/11/22,8519.9,16954.8,43521.9
2019/11/25,8632.5,17032.9,43535.1
2019/11/26,8647.9,17035.9,42852.4
2019/11/27,8705.2,17100.6,43036.2
2019/11/29,8665.5,17040.2,42820.2
2019/12/02,8568,16981.5,42544.1
2019/12/03,8520.6,16892.2,42294.5
2019/12/04,8566.7,16897.3,42191.9
2019/12/05,8570.7,16854.9,42216
2019/12/06,8656.5,16997,41938.7
2019/12/09,8621.8,16950.9,41951.6
2019/12/10,8616.2,16950.7,42633.4
2019/12/11,8654,16939.6,43195.2
2019/12/12,8717.3,16946.9,NaN
2019/12/13,8734.9,17003.1,44254.4
2019/12/16,8814.2,17056.4,44356.2
2019/12/17,8823.4,17075.2,44401.2
2019/12/18,8827.7,17032,45106.3
2019/12/19,8887.2,17064,44649.4
2019/12/20,8925,17118.4,44505.6
2019/12/23,8945.7,17128.7,44276.9
2019/12/24,8952.9,17180.2,44158
2019/12/26,9022.4,NaN,44300.2
2019/12/27,9006.6,17168.2,44261.5
2019/12/30,8946,17098.6,43657.5
2019/12/31,8972.6,17063.4,43541
2020/01/02,9092.2,17100,44437.2
2020/01/03,9020.8,17066.1,44624.9
2020/01/06,9071.5,17105.5,44495.3
2020/01/07,9068.6,17168.1,44157.8
2020/01/08,9129.2,17167.8,44470.9
2020/01/09,9203.4,17235.6,44572.2
2020/01/10,9178.9,17234.5,44660.3
2020/01/13,9273.9,17293.4,44847.5
2020/01/14,9251.3,17352.9,44773.2
2020/01/15,9258.7,17415.2,44453.3
2020/01/16,9357.1,17484.8,45303.1
2020/01/17,9388.9,17559,45817.8
2020/01/21,9370.8,17572.3,45637.3
2020/01/22,9383.8,17599.9,45604.4
2020/01/23,9402.5,17621.8,45476.4
2020/01/24,9314.9,17565.3,45141.6
2020/01/27,9139.3,17442.5,44134.4
2020/01/28,9269.7,17500.9,44717.9
2020/01/29,9275.2,17511.8,45132.6
2020/01/30,9298.9,17490.6,44862.8
2020/01/31,9150.9,17318.5,44108.3
2020/02/03,9273.4,17379.8,NaN
2020/02/04,9468,17512.7,45047.1
2020/02/05,9508.7,17651.6,44782.9
2020/02/06,9572.2,17757.5,44493.1
2020/02/07,9520.5,17655.5,44399.3
2020/02/10,9628.4,17740.6,44290.5
2020/02/11,9638.9,17777.1,45027.4
2020/02/12,9726,17832.9,45338.4
2020/02/13,9712,17821.2,45005.1
2020/02/14,9731.2,17848.4,44999.7
2020/02/18,9732.7,17858.3,44974.1
2020/02/19,9817.2,17925.4,44901.5
2020/02/20,9751,17944.1,44774.5
2020/02/21,9576.6,17843.5,44802.5
2020/02/24,9221.3,17562.7,43818.1
2020/02/25,8965.6,17177.4,43045.7
2020/02/26,8980.8,17041.9,42737.3
2020/02/27,8566.5,16717.4,41607.4
2020/02/28,8567.4,16263.1,41324.3
2020/03/02,8952.2,16553.3,42167.2
2020/03/03,8684.1,16423.6,42472.3
2020/03/04,9018.1,16779.5,43404.8
2020/03/05,8738.6,16554,42344.9
2020/03/06,8575.6,16175,41388.8
2020/03/09,7950.7,14514.2,38730.6
2020/03/10,8344.3,14958.1,39565.4
2020/03/11,7952,14270.1,38678.6
2020/03/12,7201.8,12508.5,36636.7
2020/03/13,7874.9,13716.3,38085.1
2020/03/16,6904.6,12360.4,NaN
2020/03/17,7334.8,12685.2,36862.8
2020/03/18,6989.8,11721.4,35532.7
2020/03/19,7150.6,12170.5,35143.6
2020/03/20,6879.5,11851.8,34269.5
2020/03/23,6860.7,11228.5,32964.2
2020/03/24,7417.9,12571.1,34371.5
2020/03/25,7384.3,13139.2,35536.7
2020/03/26,7797.5,13371.2,35706.6
2020/03/27,7502.4,12687.7,33799.5
2020/03/30,7774.1,13038.5,34200
2020/03/31,7700.1,13378.8,34554.5
2020/04/01,7360.6,12876.4,33691.9
2020/04/02,7487.3,13097.8,33590.6
2020/04/03,7373.1,12938.3,33075.4
2020/04/06,7913.2,13592.7,34381.6
2020/04/07,7887.3,13614.1,34526.3
2020/04/08,8090.9,13925.7,34567.8
2020/04/09,8153.6,14166.6,NaN
2020/04/13,8192.4,14075.9,34613.7
2020/04/14,8515.7,14258.4,34746.4
2020/04/15,8393.2,13958.6,33855.2
2020/04/16,8532.4,13899.3,33759.8
2020/04/17,8650.1,14359.9,34743.1
2020/04/20,8560.7,14388.3,34477.1
2020/04/21,8263.2,13940.1,33892.3
2020/04/22,8495.4,14288.2,34223.9
2020/04/23,8494.8,14251.1,34240.6
2020/04/24,8634.5,14420.4,34586.8
2020/04/27,8730.2,14642.1,34968.1
2020/04/28,8607.7,14798.3,35830.8
2020/04/29,8914.7,15228.1,36870.1
2020/04/30,8889.5,14780.7,36470.1
2020/05/01,8605,14620.3,NaN
2020/05/04,8710.7,14745,36370.4
2020/05/05,8809.1,14811.6,36616.1
2020/05/06,8854.4,14830.7,36986.2
2020/05/07,8979.7,14833.7,36792.4
2020/05/08,9121.3,14966.6,37623.7
2020/05/11,9192.3,15103.2,37631.9
2020/05/12,9002.5,14881.2,37462.9
2020/05/13,8863.2,14503.2,36394.6
2020/05/14,8943.7,14509.7,36094.1
2020/05/15,9014.6,14638.9,35691.4
2020/05/18,9234.8,NaN,37112.5
2020/05/19,9185.1,14885.5,35862
2020/05/20,9375.8,14997.6,36027
2020/05/21,9284.9,14884.9,35560.8
2020/05/22,9324.6,14913.6,35784.4
2020/05/26,9340.2,15148.1,36206.9
2020/05/27,9412.4,15272,36890
2020/05/28,9369,15262.7,36508.1
2020/05/29,9489.9,15192.8,36122.7
2020/06/01,9552,15236.2,36980.9
2020/06/02,9608.4,15394.4,37460.4
2020/06/03,9682.9,15575.1,38290.8
2020/06/04,9615.8,15527.9,37872.9
2020/06/05,9814.1,15854.1,38948.1
2020/06/08,9924.8,15974.9,39954
2020/06/09,9953.8,15833.7,39185.7
2020/06/10,10020.3,15701.3,38266.2
2020/06/11,9492.7,15050.9,36827.4
2020/06/12,9588.8,15256.6,37679.2
2020/06/15,9726,15359.7,37416.7
2020/06/16,9895.9,15515.8,37894.1
2020/06/17,9910.5,15428.7,37897.2
2020/06/18,9943,15479.8,37632.9
2020/06/19,9946.1,15474.2,38404.6
2020/06/22,10056.5,15516.9,38123.6
2020/06/23,10131.4,15564.8,38217.7
2020/06/24,9909.2,15294.4,37908.4
2020/06/25,10017,15446.1,37734.5
2020/06/26,9757.2,15189,37431.9
2020/06/29,9874.2,15389.7,37769.2
2020/06/30,10058.8,15515.2,37716.4
2020/07/01,10154.6,NaN,37619.8
2020/07/02,10207.6,15622.4,37894.1
2020/07/06,10433.7,15669.7,37884.8
2020/07/07,10343.9,15595.5,37837.4
2020/07/08,10492.5,15629.2,37483.9
2020/07/09,10547.8,15568.6,36795.9
2020/07/10,10617.4,15713.8,36465.5
2020/07/13,10390.8,15639.4,36389.4
2020/07/14,10488.6,15908.5,36190.9
2020/07/15,10550.5,16063.3,36590.3
2020/07/16,10473.8,16024.5,36465.7
2020/07/17,10503.2,16123.5,36327.8
2020/07/20,10767.1,16183.7,36323.7
2020/07/21,10680.4,16163,36881.7
2020/07/22,10706.1,16171.1,37447.1
2020/07/23,10461.4,16018.7,37433.3
2020/07/24,10363.2,15997.1,37357.5
2020/07/27,10536.3,16161.3,37742.1
2020/07/28,10402.1,16121.3,37771.2
2020/07/29,10542.9,16294.7,37720.8
2020/07/30,10587.8,16299.3,37136.8
2020/07/31,10745.3,16169.2,37019.7
2020/08/03,10902.8,NaN,37546.7
2020/08/04,10941.2,16368,37466.9
2020/08/05,10998.4,16501.6,37902
2020/08/06,11108.1,16579.1,37998.3
2020/08/07,11011,16544.5,38005
2020/08/10,10968.4,16605.5,38289.8
2020/08/11,10782.8,16497,38703.6
2020/08/12,11012.2,16575.3,38634.1
2020/08/13,11042.5,16530.1,38615.6
2020/08/14,11019.3,16514.6,38949.9
2020/08/17,11129.7,16656.1,39285.9
2020/08/18,11210.8,16626.1,39087.4
2020/08/19,11146.5,16577.4,39021.9
2020/08/20,11265,16606.8,38707.2
2020/08/21,11311.8,16517.9,38095.9
2020/08/24,11379.7,16626.6,38029.6
2020/08/25,11466.5,16617.5,38249.9
2020/08/26,11665.1,16790,37753
2020/08/27,11625.3,16731.5,37647.2
2020/08/28,11695.6,16705.8,37794.3
2020/08/31,11775.5,16514.4,36840.7
2020/09/01,11939.7,16645,37488
2020/09/02,12056.4,16698,37053.8
2020/09/03,11458.1,16448.9,36429.7
2020/09/04,11313.1,16218,36448.5
2020/09/08,10847.7,16099.5,36071.4
2020/09/09,11141.6,16383.6,36158
2020/09/10,10919.6,16185.3,36180.7
2020/09/11,10853.5,16222.5,36334.9
2020/09/14,11056.7,16360.1,36882
2020/09/15,11190.3,16431.3,36729.1
2020/09/16,11050.5,16295.7,NaN
2020/09/17,10910.3,16246.7,36130.9
2020/09/18,10793.3,16199,36017.4
2020/09/21,10778.8,15981.8,35517.8
2020/09/22,10963.6,16142.9,35853.6
2020/09/23,10633,15817.1,35829.6
2020/09/24,10672.3,15912.3,36217.5
2020/09/25,10913.6,16065.4,36583.7
2020/09/28,11117.5,16242.8,37231.5
2020/09/29,11085.3,16211.5,37134.9
2020/09/30,11167.5,16121.4,37458.7
2020/10/01,11326.5,16184.5,36626.1
2020/10/02,11075,16199.3,36642.4
2020/10/05,11332.5,16410.2,36740.3
2020/10/06,11154.6,16236.1,36947.9
2020/10/07,11364.6,16428.3,37418.8
2020/10/08,11421,16534.5,38404.1
2020/10/09,11579.9,16562.8,38478.6
2020/10/12,11876.3,NaN,38342.1
2020/10/13,11863.9,16510.8,38131.8
2020/10/14,11768.7,16455.4,38025.7
2020/10/15,11713.9,16501,38059.2
2020/10/16,11671.6,16438.8,37876.5
2020/10/19,11478.9,16274.1,37685.7
2020/10/20,11516.5,16273.3,38201.8
2020/10/21,11484.7,16230.2,38669.3
2020/10/22,11506,16279.4,38652.2
2020/10/23,11548.3,16304.1,38707.7
2020/10/26,11358.9,16079.6,38245.9
2020/10/27,11431.3,16020.9,38001.3
2020/10/28,11004.9,15586.6,37393.7
2020/10/29,11185.6,15670.7,36801.4
2020/10/30,10911.6,15580.6,36987.9
2020/11/02,10957.6,15696.9,NaN
2020/11/03,11160.6,15939.2,37466.1
2020/11/04,11590.8,15998.7,37475.8
2020/11/05,11890.9,16298.2,38399.1
2020/11/06,11895.2,16282.8,38530.5
2020/11/09,11713.8,16475.9,39652.5
2020/11/10,11553.9,16615.4,40404.6
2020/11/11,11786.4,16774.1,40858.9
2020/11/12,11709.6,16582.2,40335.9
2020/11/13,11829.3,16675.6,40791.8
2020/11/16,11924.1,16889.8,NaN
2020/11/17,11899.3,16948.1,41948.8
2020/11/18,11801.6,16889.8,42252.6
2020/11/19,11904.7,16909.8,41868.8
2020/11/20,11855,17019.1,41905.1
2020/11/23,11880.6,17094.5,42267.2
2020/11/24,12036.8,17274.3,42736.5
2020/11/25,12094.4,17313.1,42200.6
2020/11/27,12205.8,17396.6,41674.3
2020/11/30,12198.7,17190.3,41778.9
2020/12/01,12355.1,17296.9,42895.6
2020/12/02,12349.4,17358.2,43674.8
2020/12/03,12377.2,17398,43934.2
2020/12/04,12464.2,17521,43646
2020/12/07,12520,17582.4,43255.3
2020/12/08,12582.8,17639,43098.6
2020/12/09,12339,17559.9,42737
2020/12/10,12405.8,17593.3,43518.7
2020/12/11,12377.9,17548.9,43612.3
2020/12/14,12440,17387.4,43569.8
2020/12/15,12595.1,17506.5,43543.4
2020/12/16,12658.2,17567.4,43790.4
2020/12/17,12764.8,17652.9,44326.1
2020/12/18,12755.6,17534.6,43873.8
2020/12/21,12742.5,17500.9,43246.2
2020/12/22,12807.9,17552.5,42601.7
2020/12/23,12771.1,17593.6,43597.3
2020/12/24,12804.7,17623.9,43372.2
2020/12/28,12899.4,NaN,43883.4
2020/12/29,12850.2,17543.4,44694
2020/12/30,12870,17545.8,44694
2020/12/31,12888.3,17433.4,44066.9
2021/01/04,12698.5,17527.8,44703
2021/01/05,12819,17682.5,44908.1
2021/01/06,12740.8,17828.1,45587.2
2021/01/07,13067.5,18027.6,46188.7
2021/01/08,13202,18042.1,46729.3
2021/01/11,13036.4,17934.5,46395.3
2021/01/12,13072.4,17985.8,45951.8
2021/01/13,13129,17934.7,45740.1
2021/01/14,13112.6,17958.1,46070.9
2021/01/15,12998.5,17909,45892.3
2021/01/19,13197.2,17957.4,45495.4
2021/01/20,13457.3,18014.9,45125.7
2021/01/21,13530.9,17916.2,44810.2
2021/01/22,13543.1,17845.9,44683.6
2021/01/25,13636,17906,45126.5
2021/01/26,13626.1,17779.4,45053.6
2021/01/27,13270.6,17424.4,44262
2021/01/28,13337.2,17657.2,44280.7
2021/01/29,13070.7,17337,42985.7
2021/02/01,13403.4,17692.5,NaN
2021/02/02,13612.8,17874.5,43848.9
2021/02/03,13610.5,17915.9,43957.1
2021/02/04,13777.7,18042,44167.6
2021/02/05,13856.3,18135.9,44145.7
2021/02/08,13987.6,18330.3,44197.5
2021/02/09,14007.7,18408.6,45021
2021/02/10,13972.5,18457.8,44718.2
2021/02/11,14025.8,18393,44060.1
2021/02/12,14095.5,18460.2,44202.5
2021/02/16,14047.5,18492.5,44698.6
2021/02/17,13965.5,18374.8,45061.9
2021/02/18,13865.4,18274.1,44507.9
2021/02/19,13874.5,18384.3,44900.1
2021/02/22,13533,18416.7,44946.6
2021/02/23,13465.2,18330.1,45268.3
2021/02/24,13598,18484.5,45151.4
2021/02/25,13119.4,18223.5,44310.3
2021/02/26,13192.3,18060.3,44592.9
2021/03/01,13588.8,18299.6,44784.6
2021/03/02,13358.8,18421.6,45682.2
2021/03/03,12997.8,18320.7,46377.5
2021/03/04,12723.5,18125.7,46004.2
2021/03/05,12920.2,18381,46342.5
2021/03/08,12609.2,18457.8,47075.4
2021/03/09,13073.8,18599.2,47103.6
2021/03/10,13068.8,18690,47549.7
2021/03/11,13398.7,18844.6,47673.8
2021/03/12,13319.9,18851.3,47769.9
2021/03/15,13459.7,18954.8,NaN
2021/03/16,13471.6,18874,48203.9
2021/03/17,13525.2,18983.1,47679.5
2021/03/18,13116.2,18836.5,47572.4
2021/03/19,13215.2,18854,47028
2021/03/22,13377.5,18815.1,47225.4
2021/03/23,13227.7,18669.8,46659.2
2021/03/24,12961.9,18628.3,46703.1
2021/03/25,12977.7,18651.1,47012.4
2021/03/26,13138.7,18752.6,47379.2
2021/03/29,13059.7,18719.2,47747.4
2021/03/30,13045.4,18705.6,47905
2021/03/31,13246.9,18700.7,47246.3
2021/04/01,13480.1,18990.3,NaN
2021/04/05,13705.6,19026.8,48245.9
2021/04/06,13698.4,19104.1,47985.4
2021/04/07,13688.8,19129.1,47897.8
2021/04/08,13829.3,19228.9,48188.1
2021/04/09,13900.2,19228,47627.7
2021/04/12,13850,19201.3,47352.2
2021/04/13,13996.1,19203.7,47503.7
2021/04/14,13857.8,19171.7,48329.8
2021/04/15,14038.8,19321.9,48514.1
2021/04/16,14052.3,19351.3,48727
2021/04/19,13914.8,19204.4,48072.6
2021/04/20,13786.3,19040.8,48529
2021/04/21,13950.2,19143.3,48867.6
2021/04/22,13818.4,19031.6,49092.3
2021/04/23,14016.8,19102.3,49091.1
2021/04/26,14138.8,19170.6,48923.9
2021/04/27,14090.2,19175.1,48812.2
2021/04/28,14051,19357,48487.9
2021/04/29,14082.5,19255.9,48897.8
2021/04/30,13962.7,19108.3,48009.7
2021/05/03,13895.1,19213.2,48498.6
2021/05/04,13633.5,19188,48328.2
2021/05/05,13582.4,19310.7,48399.8
2021/05/06,13632.8,19291,48934.9
2021/05/07,13752.2,19472.7,49249
2021/05/10,13401.9,19361.9,49867.1
2021/05/11,13389.4,19274,49655.3
2021/05/12,13031.7,19107.8,48748.4
2021/05/13,13125,19135.8,48829.3
2021/05/14,13430,19366.7,49219.3
2021/05/17,13379,19474.7,49372
2021/05/18,13303.6,19507.1,49789.3
2021/05/19,13299.7,19417,49382.3
2021/05/20,13535.7,19543,49907.4
2021/05/21,13471,19527.3,49778.8
2021/05/24,13661.2,NaN,49457.9
2021/05/25,13657.2,19564.1,48826.9
2021/05/26,13738,19745.5,49103.5
2021/05/27,13736.3,19774.4,49627.9
2021/05/28,13748.7,19852.2,50040.7
2021/06/01,13736.5,19976,50722.4
2021/06/02,13756.3,19971.2,50749.6
2021/06/03,13614.5,19941.4,50628.8
2021/06/04,13814.5,20029.2,50484.4
2021/06/07,13881.7,20035.3,51427.6
2021/06/08,13924.9,20065.9,50865.2
2021/06/09,13911.8,20002.3,50823.3
2021/06/10,14020.3,20049.5,50886.3
2021/06/11,14069.4,20138.4,51286.5
2021/06/14,14174.1,20157.7,51029.5
2021/06/15,14072.9,20231.3,50908.2
2021/06/16,14039.7,20231,50579.1
2021/06/17,14161.3,20144,50202.8
2021/06/18,14030.4,19999.6,50319.6
2021/06/21,14141.5,20156.4,50315.7
2021/06/22,14253.3,20200.7,50129.9
2021/06/23,14271.7,20164.4,50170.8
2021/06/24,14369.7,20215.1,50558.3
2021/06/25,14360.4,20230.3,50549.9
2021/06/28,14500.5,20145.3,50351.2
2021/06/29,14528.3,20171,50337.4
2021/06/30,14504,20165.6,50289.8
2021/07/01,14522.4,NaN,50376.9
2021/07/02,14639.3,20226.1,50223
2021/07/06,14663.6,20300,50048.9
2021/07/07,14665.1,20290.6,50052.9
2021/07/08,14559.8,20061.2,49570.9
2021/07/09,14701.9,20258,49768.4
2021/07/12,14733.2,20233.1,49789.1
2021/07/13,14677.7,20270.7,49275
2021/07/14,14645,20147.2,49435.9
2021/07/15,14543.1,20183.7,50274.9
2021/07/16,14427.2,19985.5,50148.1
2021/07/19,14275,19726.5,49096.5
2021/07/20,14498.9,19942.7,49257
2021/07/21,14632,20110.1,50035.2
2021/07/22,14684.6,20097.5,50240.5
2021/07/23,14837,20188.4,50268.4
2021/07/26,14840.7,20165,50897.8
2021/07/27,14660.6,20173.4,50910.5
2021/07/28,14762.6,20230.4,51344.1
2021/07/29,14778.3,20311.8,51634.6
2021/07/30,14672.7,20287.8,50868.3
2021/08/02,14681.1,NaN,50869.5
2021/08/03,14761.3,20365.9,51633.9
2021/08/04,14780.5,20329.7,51195.4
2021/08/05,14895.1,20375.5,51134.9
2021/08/06,14835.8,20475.4,51113.9
2021/08/09,14860.2,20437.4,50900.5
2021/08/10,14788.1,20495.7,51114.2
2021/08/11,14765.1,20554,51311.6
2021/08/12,14816.3,20520.6,51049.7
2021/08/13,14822.9,20518.1,51490.9
2021/08/16,14793.8,20483.4,51384.9
2021/08/17,14656.2,20363.6,51576.6
2021/08/18,14525.9,20302.1,51986.1
2021/08/19,14541.8,20215.4,51099.4
2021/08/20,14714.7,20339,51414.3
2021/08/23,14942.7,20477.3,52054.6
2021/08/24,15019.8,20547.8,51985
2021/08/25,15041.9,20587.3,52345.4
2021/08/26,14945.8,20504.2,52290.7
2021/08/27,15129.5,20644.6,52425.6
2021/08/30,15265.9,20595,52602.1
2021/08/31,15259.2,20582.9,53304.7
2021/09/01,15309.4,20689.6,52215.5
2021/09/02,15331.2,20795.1,52087.5
2021/09/03,15363.5,20821.4,51835.1
2021/09/07,15374.3,20806.6,51950.4
2021/09/08,15286.6,20741.8,51469.7
2021/09/09,15248.3,20705.3,51395.1
2021/09/10,15115.5,20633.1,51521.8
2021/09/13,15105.6,20666.4,51496.7
2021/09/14,15037.8,20553.3,51815.2
2021/09/15,15161.5,20693.8,52192.3
2021/09/16,15181.9,20602.1,NaN
2021/09/17,15044,20490.4,51307.7
2021/09/20,14713.9,20154.5,50557.6
2021/09/21,14746.4,20244.3,50828.1
2021/09/22,14896.8,20401.5,51338.3
2021/09/23,15052.2,20461.9,51464.3
2021/09/24,15047.7,20402.7,51105.7
2021/09/27,14970,20463.4,51598.5
2021/09/28,14546.7,20174.1,50925.5
2021/09/29,14512.4,20158.1,51084.6
2021/09/30,14448.6,20070.3,51385.6
2021/10/01,14566.7,20150.9,51060.1
2021/10/04,14255.5,20052.3,50862.9
2021/10/05,14433.8,20183.4,51056.9
2021/10/06,14501.9,20191.7,50974.5
2021/10/07,14654,20416.2,50877
2021/10/08,14579.5,20416.3,51136.6
2021/10/11,14486.2,NaN,51646.8
2021/10/12,14465.9,20437.1,51835.9
2021/10/13,14571.6,20618.5,51812.9
2021/10/14,14823.4,20819.9,52140.2
2021/10/15,14897.3,20928.1,52798.4
2021/10/18,15021.8,20985.4,52686
2021/10/19,15129.1,21087,52402.7
2021/10/20,15121.7,21188.2,52298.2
2021/10/21,15215.7,21212.4,52020.1
2021/10/22,15090.2,21216.2,51889.7
2021/10/25,15226.7,21284.8,51833.8
2021/10/26,15235.7,21173.5,52206.6
2021/10/27,15235.8,20955,51714.6
2021/10/28,15448.1,21197.5,51248.8
2021/10/29,15498.4,21037.1,51309.8
2021/11/01,15595.9,21247,51653.3
2021/11/02,15649.6,21170,NaN
2021/11/03,15811.6,21265.1,51876.8
2021/11/04,15940.3,21342.1,51873.5
2021/11/05,15971.6,21455.8,51978
2021/11/08,15982.4,21556.5,52251.5
2021/11/09,15886.5,21594.5,52114.1