ISO3,Name,Start Date,Min Date,Cover Date,Start to Min,Min to Cover,Start to Cover
USA,United States of America,2020/03/11,2020/03/23,2020/04/16,12,24,36
GBR,United Kingdom,2020/02/25,2020/03/23,2020/11/16,27,238,265
ARG,Argentina,2020/03/09,2020/03/18,2020/05/11,9,54,63
ITA,Italy,2020/03/04,2020/03/16,2020/11/10,12,239,251
CHE,Swiss,2020/03/04,2020/03/16,2020/06/05,12,81,93
EGY,Egypt,2020/03/18,2020/11/11,,238,,
ZAF,South Africa,2020/02/26,2020/03/19,2020/06/05,22,78,100
CHN,China,2020/02/03,2020/03/23,2020/06/05,49,74,123
AUS,Australia,2020/03/02,2020/03/23,2020/10/14,21,205,226
CAN,Canada,2020/03/03,2020/03/23,2020/07/20,20,119,139
DEU,Germany,2020/03/02,2020/03/18,2020/06/05,16,79,95
BRA,Brazil,2020/03/06,2020/03/23,2020/07/04,17,103,120
KOR,Korea,2020/02/27,2020/03/19,2020/06/01,21,74,95
CHL,Chile,,2020/03/18,2020/11/19,43908,246,44154
NLD,Netherlands,2020/02/28,2020/03/18,2020/06/22,19,96,115
FRA,France,2020/02/28,2020/03/18,2020/11/10,19,237,256
HKG,HongKong,2020/01/30,2020/03/23,2020/11/09,53,231,284
PER,Peru,2020/01/30,2020/04/03,2020/08/13,64,132,196
IND,India,,,2020/08/11,,,
MEX,Mexico,2020/02/27,2020/03/23,2020/11/11,25,233,258
NZL,NewZealand,2020/03/12,2020/03/23,2020/06/05,11,74,85
JPN,Japan,2020/03/02,2020/03/19,2020/06/01,17,74,91